k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.19101968071332,17.186114619445558,17.23260749330706,17.23260749330706,17.23260749330706
2,20.17900562025767,17.23329539210977,17.29292951961815,17.292929519684453,17.29292951961815
3,20.154358084206226,17.206471173052446,17.29624386769961,17.297346502621203,17.2962438773949
4,20.21080170370858,17.199549973720345,17.305338429395565,17.300367163883003,17.305338430448003
5,20.173741580935026,17.187184922021363,17.309332550050925,17.293106278892786,17.309332553194984
6,20.200712383337425,17.179317279635196,17.305126337752462,17.301204891562893,17.30512632544516
7,20.199332945496522,17.18295872694766,17.317457062627486,17.308808154647036,17.317457061256356
8,20.138318052382054,17.19702213564152,17.337834336674018,17.331329364381528,17.337834345286936
9,20.200910635233868,17.17003891985359,17.32938465223131,17.32046020733482,17.329384650518236
10,20.137741735960528,17.202483797797147,17.339860303241647,17.333354418999857,17.339860310158485
11,20.172746034840145,17.19147887416406,17.34129783005403,17.333297345202762,17.34129781958291
12,20.176828790179226,17.21864719531388,17.36726640431229,17.363968328567378,17.367266403409683
13,20.145437136566386,17.18954813652209,17.32837851193434,17.3228165545945,17.328378497702325
14,20.19226576530471,17.236269094086975,17.37235016083783,17.368399876724762,17.372350145962653
15,20.161962097024926,17.23461595663395,17.36500107720744,17.35988581983619,17.365001075816437
16,20.15032423318275,17.23898388747818,17.357249730899404,17.3525443730961,17.357249754278776
17,20.193258990270145,17.182730552004955,17.346883340794367,17.340675582725034,17.34688333756555
18,20.179030683566296,17.18599787107018,17.351168731067023,17.346148444699022,17.351168750270837
19,20.15306991908996,17.142117976454433,17.332373819621584,17.32718527236411,17.33237381762281
20,20.148414640811243,17.164064244364738,17.29860231650851,17.292387758043077,17.2981748469334
